id_case,id_progen_tree,id_progen_tracing,lineage_chain,lineage_case,utm_easting,utm_northing,species,date_symptoms
94,93,0,6,0,585848.9649449999,9405157.042163022,Domestic dog,2010-10-15
96,558,0,4,0,582088.9357598783,9409589.118078617,Domestic dog,2011-01-15
97,NA,0,6,0,580282.5513049292,9406711.95004959,Domestic dog,2010-07-15
98,97,0,6,0,583659.7968980076,9404549.991647743,Domestic dog,2010-07-15
102,22,0,6,0,584539.5054535571,9401946.890049856,Domestic dog,2010-11-15
106,109,0,3,0,577495.2139291886,9409613.977115244,Domestic dog,2010-02-15
109,23,0,3,0,579969.9417897449,9408627.759294301,Domestic dog,2010-01-15
113,96,0,4,0,583644.7936102661,9410709.415610593,Domestic dog,2011-03-15
115,109,0,3,0,581193.8755977561,9422457.844433418,Domestic dog,2010-02-15
121,155,0,4,0,580228.2413732051,9417187.313521579,Domestic dog,2011-11-15
134,25,0,3,0,580621.8014129597,9400898.227527097,Domestic dog,2010-05-05
135,134,134,3,0,580623.342784999,9402387.378087325,Domestic dog,2010-05-08
136,134,134,3,0,579112.6058962588,9400887.181458121,Domestic dog,2010-05-08
