id_case,id_progen_tree,id_progen_tracing,membership,utm_easting,utm_northing,species,date_symptoms
607,507,0,12,594955.0557254854,9452328.652082931,Domestic dog,2017-06-28
572,508,0,12,594747.2668867743,9449783.199373756,Domestic dog,2017-06-27
573,565,0,12,593830.1159067698,9447041.832512021,Domestic dog,2018-05-15
579,595,0,11,588491.0391422737,9413981.712750632,Domestic dog,2017-07-30
578,602,0,11,590768.1895594883,9426426.765497983,Domestic dog,2017-06-29
576,563,0,12,591252.2685249614,9445139.694072355,Domestic dog,2017-10-22
577,556,0,11,584863.2378994718,9429718.163489461,Domestic dog,2017-10-22
582,581,0,11,588858.2176543613,9418552.674524177,Domestic dog,2017-09-28
584,585,0,11,587729.8933076765,9418967.168485923,Domestic dog,2018-01-30
583,526,0,11,587995.5233190645,9417246.921965353,Domestic dog,2017-05-23
581,579,0,11,589176.1910432084,9416169.2430994,Domestic dog,2017-08-20
585,586,0,11,587904.660892984,9421208.946571939,Domestic dog,2018-01-04
586,597,0,11,585733.3205536032,9420652.025429405,Domestic dog,2017-08-27
588,593,0,11,577033.6756003804,9408438.342809655,Domestic dog,2017-10-18
587,NA,0,17,574620.1509472363,9404782.662076827,Domestic dog,2017-05-21
597,595,0,11,583639.1484939035,9422927.267696787,Domestic dog,2017-07-25
595,583,0,11,585211.5360686714,9417974.620122736,Domestic dog,2017-06-20
596,595,0,11,584907.2594984858,9418686.723048292,Domestic dog,2017-07-29
593,579,0,11,585415.0494786605,9408704.559726648,Domestic dog,2017-08-19
594,592,0,18,581957.2911839035,9409246.46540222,Domestic dog,2018-07-19
591,593,0,11,586153.7313215099,9405390.683688613,Domestic dog,2017-11-19
592,NA,0,18,585419.8212861703,9405711.248805279,Domestic dog,2018-05-22
590,NA,0,19,581259.058242137,9408738.56424173,Domestic dog,2017-05-21
589,590,0,19,583365.5990839116,9403708.924128175,Domestic dog,2017-06-06
598,589,589,19,584824.7318196455,9403778.588027427,Livestock: Cow,2017-07-06
600,607,0,12,594819.2349689881,9455023.60749112,Domestic dog,2017-08-19
41,NA,0,20,581384.6992665101,9441065.656867016,Domestic dog,2010-03-15
